0	0	0	0	0	0
64	0	0	44	3	3
128	0	0	90	7	7
192	0	0	136	10	10
256	0	0	182	14	14
320	0	0	228	18	18
384	0	0	273	21	21
448	0	0	317	25	25
512	0	0	359	30	30
576	0	0	401	34	34
640	0	0	441	39	39
704	0	0	478	45	45
768	0	0	514	51	51
832	0	0	549	58	58
896	0	0	584	64	64
960	0	0	618	70	70
1023	0	0	653	77	77
0	64	0	13	53	13
64	64	0	58	57	17
128	64	0	104	60	21
192	64	0	150	64	24
256	64	0	195	67	28
320	64	0	241	71	31
384	64	0	286	75	35
448	64	0	330	78	39
512	64	0	373	83	43
576	64	0	414	87	48
640	64	0	454	92	53
704	64	0	492	98	58
768	64	0	528	104	64
832	64	0	562	110	71
896	64	0	597	117	77
960	64	0	632	123	84
1023	64	0	666	130	90
0	128	0	26	106	26
64	128	0	71	110	30
128	128	0	116	114	33
192	128	0	162	117	37
256	128	0	208	121	40
320	128	0	254	124	44
384	128	0	298	128	47
448	128	0	342	132	51
512	128	0	385	136	55
576	128	0	427	140	60
640	128	0	467	146	65
704	128	0	504	151	71
768	128	0	540	157	77
832	128	0	575	164	83
896	128	0	610	170	90
960	128	0	644	176	96
1023	128	0	679	183	103
0	192	0	39	160	39
64	192	0	83	164	42
128	192	0	129	167	46
192	192	0	175	171	49
256	192	0	220	174	52
320	192	0	266	177	56
384	192	0	311	181	60
448	192	0	354	185	63
512	192	0	397	189	68
576	192	0	439	194	72
640	192	0	479	199	77
704	192	0	516	205	83
768	192	0	552	211	89
832	192	0	587	217	95
896	192	0	622	224	102
960	192	0	657	230	109
1023	192	0	691	236	115
0	256	0	51	213	51
64	256	0	95	217	54
128	256	0	141	220	58
192	256	0	187	224	61
256	256	0	233	227	65
320	256	0	278	231	68
384	256	0	323	234	72
448	256	0	367	238	76
512	256	0	410	242	80
576	256	0	451	247	84
640	256	0	491	252	90
704	256	0	529	258	95
768	256	0	565	264	101
832	256	0	600	271	108
896	256	0	634	277	115
960	256	0	669	284	121
1023	256	0	704	290	128
0	320	0	63	267	63
64	320	0	108	270	67
128	320	0	153	274	70
192	320	0	199	277	74
256	320	0	245	280	77
320	320	0	290	284	81
384	320	0	336	288	84
448	320	0	379	291	88
512	320	0	422	296	93
576	320	0	464	300	97
640	320	0	504	306	102
704	320	0	542	312	108
768	320	0	578	318	114
832	320	0	613	324	121
896	320	0	648	331	128
960	320	0	682	338	134
1023	320	0	717	344	141
0	384	0	76	319	76
64	384	0	121	323	80
128	384	0	166	327	83
192	384	0	212	330	87
256	384	0	258	334	90
320	384	0	304	337	94
384	384	0	348	341	97
448	384	0	393	345	102
512	384	0	436	349	106
576	384	0	477	354	110
640	384	0	517	359	116
704	384	0	555	365	122
768	384	0	591	371	128
832	384	0	627	378	135
896	384	0	661	385	141
960	384	0	696	392	148
1023	384	0	731	398	155
0	448	0	90	372	90
64	448	0	134	376	93
128	448	0	180	379	97
